item_id,system,agent_count,task_id,backbone,coord_tokens,work_tokens,total_tokens,coord_pct,system_description,your_label,ground_truth_label
8dafb1fb_lang,langgraph,16,django__django-11095,gpt-4o-mini,4944,851,5795,85.3%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (4944): supervisor prompt+completion (routing/synthesis). Work tokens (851): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
739d7b8a_lang,langgraph,4,django__django-11066,gpt-4o-mini,19450,3091,22541,86.3%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (19450): supervisor prompt+completion (routing/synthesis). Work tokens (3091): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
425c1c51_sbus,sbus,16,astropy__astropy-13977,gpt-4o-mini,976,15753,16729,5.8%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (976): tokens spent reading shard content. Work tokens (15753): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
df6bc6ce_sbus,sbus,4,astropy__astropy-14309,gpt-4o-mini,8543,85543,94086,9.1%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (8543): tokens spent reading shard content. Work tokens (85543): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
060c8743_lang,langgraph,8,django__django-10880,gpt-4o-mini,8973,1644,10617,84.5%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (8973): supervisor prompt+completion (routing/synthesis). Work tokens (1644): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
8406f907_crew,crewai,8,django__django-11099,gpt-4o-mini,150730,18385,169115,89.1%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (150730): shared context broadcast + coordinator calls. Work tokens (18385): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
3c27832f_sbus,sbus,8,django__django-11087,gpt-4o-mini,2201,69867,72068,3.1%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (2201): tokens spent reading shard content. Work tokens (69867): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
aab2676d_sbus,sbus,8,astropy__astropy-14182,gpt-4o-mini,1968,19367,21335,9.2%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1968): tokens spent reading shard content. Work tokens (19367): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
fe5de39f_lang,langgraph,8,astropy__astropy-13236,gpt-4o-mini,12837,1834,14671,87.5%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (12837): supervisor prompt+completion (routing/synthesis). Work tokens (1834): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
3cd8f640_crew,crewai,4,sympy__sympy-11618,gpt-4o-mini,102095,15610,117705,86.7%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (102095): shared context broadcast + coordinator calls. Work tokens (15610): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
ad9fc621_auto,autogen,8,sympy__sympy-12489,gpt-4o-mini,158219,4733,162952,97.1%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (158219): full message history (growing context). Work tokens (4733): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
92dcb29f_sbus,sbus,16,astropy__astropy-14182,gpt-4o-mini,1140,10697,11837,9.6%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1140): tokens spent reading shard content. Work tokens (10697): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
ab64e614_sbus,sbus,4,django__django-10880,gpt-4o-mini,3304,12763,16067,20.6%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (3304): tokens spent reading shard content. Work tokens (12763): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
b1b566b8_lang,langgraph,8,astropy__astropy-13453,gpt-4o-mini,26601,1611,28212,94.3%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (26601): supervisor prompt+completion (routing/synthesis). Work tokens (1611): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
3b2aac74_lang,langgraph,4,astropy__astropy-13453,gpt-4o-mini,35064,3305,38369,91.4%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (35064): supervisor prompt+completion (routing/synthesis). Work tokens (3305): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
b72fe720_crew,crewai,8,astropy__astropy-14096,gpt-4o-mini,154530,17625,172155,89.8%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (154530): shared context broadcast + coordinator calls. Work tokens (17625): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
31062ea5_sbus,sbus,8,sympy__sympy-11618,gpt-4o-mini,1768,7399,9167,19.3%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1768): tokens spent reading shard content. Work tokens (7399): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
fff3ee81_crew,crewai,16,astropy__astropy-14309,gpt-4o-mini,286200,18050,304250,94.1%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (286200): shared context broadcast + coordinator calls. Work tokens (18050): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
a73dc881_lang,langgraph,16,django__django-10999,gpt-4o-mini,5561,784,6345,87.6%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (5561): supervisor prompt+completion (routing/synthesis). Work tokens (784): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
94fb2e1b_lang,langgraph,4,django__django-11087,gpt-4o-mini,37037,3230,40267,92.0%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (37037): supervisor prompt+completion (routing/synthesis). Work tokens (3230): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
ee990b03_crew,crewai,16,sympy__sympy-11618,gpt-4o-mini,105415,14700,120115,87.8%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (105415): shared context broadcast + coordinator calls. Work tokens (14700): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
